gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
-0.296222,1.928157,1.802539,-0.096979,2.033809,0.383135,0,-0.296222,2.03937,0,1.802539,0
-0.421474,2.439175,1.974913,-0.302485,1.953708,1.811158,0,-0.421474,2.439175,0,1.974913,0
-0.330159,2.864982,1.442166,-0.416908,2.460465,1.948276,0,-0.421474,2.864982,0,1.974913,0
0.481536,3.079961,0.636086,-0.289574,2.875731,1.401862,0.481536,-0.421474,3.079961,0,1.974913,0
0.708478,2.861686,0.369712,0.492883,3.069047,0.622767,0.708478,-0.421474,3.079961,0,1.974913,0
0.918818,2.139352,-0.041201,0.718995,2.825569,0.349166,0.918818,-0.421474,3.079961,0,1.974913,-0.041201
0.860343,1.779711,-0.191235,0.915894,2.12137,-0.048703,0.918818,-0.421474,3.079961,0,1.974913,-0.191235
0.158396,0.157541,0.197217,0.825246,1.698602,-0.171812,0.918818,-0.421474,3.079961,0,1.974913,-0.191235
0.005555,-0.259232,0.24971,0.150754,0.136702,0.199842,0.918818,-0.421474,3.079961,-0.259232,1.974913,-0.191235
-0.555271,-1.519563,0.238723,-0.022486,-0.322249,0.249161,0.918818,-0.555271,3.079961,-1.519563,1.974913,-0.191235
-1.185436,-3.220839,-0.602637,-0.586779,-1.604627,0.196655,0.918818,-1.185436,3.079961,-3.220839,1.974913,-0.602637
-1.234511,-3.381249,-0.727645,-1.18789,-3.228859,-0.608887,0.918818,-1.234511,3.079961,-3.381249,1.974913,-0.727645
-0.556491,-2.495209,1.151132,-1.20061,-3.336947,-0.633706,0.918818,-1.234511,3.079961,-3.381249,1.974913,-0.727645
-0.117012,-1.636513,2.257157,-0.534517,-2.452274,1.206433,0.918818,-1.234511,3.079961,-3.381249,2.257157,-0.727645
0.211378,-1.004395,2.94299,-0.100592,-1.604907,2.291449,0.918818,-1.234511,3.079961,-3.381249,2.94299,-0.727645
0.564182,0.118965,3.491607,0.229018,-0.948227,2.970421,0.918818,-1.234511,3.079961,-3.381249,3.491607,-0.727645
0.860587,1.363914,3.636147,0.579002,0.181212,3.498834,0.918818,-1.234511,3.079961,-3.381249,3.636147,-0.727645
0.825917,2.540011,3.046756,0.858854,1.422719,3.606677,0.918818,-1.234511,3.079961,-3.381249,3.636147,-0.727645
0.675029,3.145029,2.451993,0.818373,2.570262,3.017018,0.918818,-1.234511,3.145029,-3.381249,3.636147,-0.727645
0.965574,4.000183,0.815907,0.689556,3.187787,2.370189,0.965574,-1.234511,4.000183,-3.381249,3.636147,-0.727645
1.189953,3.802783,-2.084417,0.976793,3.990313,0.670891,1.189953,-1.234511,4.000183,-3.381249,3.636147,-2.084417
1.013184,3.442166,-2.118354,1.181115,3.784752,-2.086114,1.189953,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.757554,3.400903,0.11811,1.000403,3.440103,-2.006531,1.189953,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.448208,3.361594,1.056888,0.742087,3.398938,0.165049,1.189953,-1.234511,4.000183,-3.381249,3.636147,-2.118354
0.779772,3.079473,0.164622,0.464786,3.347488,1.012275,1.189953,-1.234511,4.000183,-3.381249,3.636147,-2.118354
1.079839,2.856925,0.042422,0.794775,3.068346,0.158512,1.189953,-1.234511,4.000183,-3.381249,3.636147,-2.118354
1.319111,2.303424,-0.122139,1.091803,2.82925,0.034194,1.319111,-1.234511,4.000183,-3.381249,3.636147,-2.118354
