gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
0.321003,1.167857,0.989623,0.343724,1.511936,0.974879,0.343954,0,1.515412,0,0.989623,0
0.293414,0.989868,1.026369,0.320727,1.166077,0.98999,0.343954,0,1.515412,0,1.026369,0
0.277056,0.8214,1.089361,0.29325,0.988183,1.026999,0.343954,0,1.515412,0,1.089361,0
0.268144,0.263383,1.195935,0.276967,0.81582,1.090427,0.343954,0,1.515412,0,1.195935,0
0.285113,-0.020936,1.131844,0.268314,0.26054,1.195294,0.343954,0,1.515412,-0.020936,1.195935,0
0.272294,-0.96594,0.61399,0.284985,-0.030386,1.126665,0.343954,0,1.515412,-0.96594,1.195935,0
0.265336,-1.023195,0.565159,0.272224,-0.966513,0.613502,0.343954,0,1.515412,-1.023195,1.195935,0
0.221632,-1.204358,0.391076,0.264899,-1.025007,0.563418,0.343954,0,1.515412,-1.204358,1.195935,0
0.104926,-1.486846,0.146432,0.220465,-1.207183,0.38863,0.343954,0,1.515412,-1.486846,1.195935,0
0.018251,-1.791064,-0.090399,0.104059,-1.489888,0.144064,0.343954,0,1.515412,-1.791064,1.195935,-0.090399
-0.063419,-1.936214,-0.204175,0.017434,-1.792516,-0.091537,0.343954,-0.063419,1.515412,-1.936214,1.195935,-0.204175
-0.171458,-2.315266,-0.193676,-0.064499,-1.940005,-0.20407,0.343954,-0.171458,1.515412,-2.315266,1.195935,-0.204175
-0.41952,-3.143197,0.043154,-0.173939,-2.323545,-0.191308,0.343954,-0.41952,1.515412,-3.143197,1.195935,-0.204175
-0.433925,-3.457914,0.084661,-0.419664,-3.146344,0.043569,0.343954,-0.433925,1.515412,-3.457914,1.195935,-0.204175
0.645242,-2.299151,0.501434,-0.423133,-3.446326,0.088829,0.645242,-0.433925,1.515412,-3.457914,1.195935,-0.204175
1.080083,-1.092779,0.708234,0.64959,-2.287087,0.503502,1.080083,-0.433925,1.515412,-3.457914,1.195935,-0.204175
1.159922,-0.752915,0.826894,1.080881,-1.08938,0.709421,1.159922,-0.433925,1.515412,-3.457914,1.195935,-0.204175
1.209241,-0.539279,0.99121,1.160415,-0.750779,0.828537,1.209241,-0.433925,1.515412,-3.457914,1.195935,-0.204175
1.219984,-0.316365,1.292987,1.209348,-0.53705,0.994228,1.219984,-0.433925,1.515412,-3.457914,1.292987,-0.204175
1.212904,-0.176219,1.413599,1.219913,-0.314964,1.294193,1.219984,-0.433925,1.515412,-3.457914,1.413599,-0.204175
1.138925,0.866081,2.091375,1.212164,-0.165796,1.420377,1.219984,-0.433925,1.515412,-3.457914,2.091375,-0.204175
0.995361,2.392541,2.445157,1.137489,0.881346,2.094913,1.219984,-0.433925,2.392541,-3.457914,2.445157,-0.204175
0.90185,3.609168,2.628273,0.994426,2.404707,2.446988,1.219984,-0.433925,3.609168,-3.457914,2.628273,-0.204175
0.6804,4.000183,2.571141,0.899635,3.613078,2.627702,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
0.639504,4.000183,2.186962,0.679991,4.000183,2.567299,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
0.595434,4.000183,1.553989,0.639063,4.000183,2.180632,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
0.442715,4.000183,1.362449,0.593907,4.000183,1.552074,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
0.519868,3.472929,0.864616,0.443487,3.99491,1.357471,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
0.524629,2.719221,0.787341,0.519916,3.465392,0.863843,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
0.458463,1.542392,0.64866,0.523967,2.707453,0.785954,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
0.366172,1.053104,0.70213,0.45754,1.537499,0.649195,1.219984,-0.433925,4.000183,-3.457914,2.628273,-0.204175
